source_file,age,utterance,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020606.xml,919.5,he drinked it all,38.5225,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020620.xml,933.5,look what I just find in Grandma ma's cushion,16.934,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,the scrap book falled in the water,11.81675,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,the phone run runned on,25.862033333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,I drawed with him,29.15705,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,I drawed chalk only for kids,29.218,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020718.xml,962,I falled off o there,5.99705,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020718.xml,962,he waked up,26.07825,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020729.xml,973,right on his foots,16.446749999999998,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020813.xml,987.5,like he know how to build my puzzles,15.003683333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,he flied a big plane to his mommy and daddy,2.31335,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,but he he goed to his mommy and daddy way over there,15.616416666666668,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,I fighted with her too,18.283833333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020923.xml,1028,I swinged it on my head,4.550633333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,mouses don't drive in crayons car,16.106583333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,have you hadded presents and cake,20.04045,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my cat ate my three mouses,21.123033333333336,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,I Daddy Stuart_Little and Mom Stuart_Little and I I have three mouses,21.296483333333335,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my cat tried to eat my mouses,21.46855,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my but my cat eat mouses,21.672216666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,mouses,22.060066666666668,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,mouses outside,22.0969,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my mouses gatta a babysitter,29.355616666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my mouses are back in my baby,29.5604,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021028.xml,1063.5,and and Rabbit gots in one of the car,12.95135,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,Mommy writed a letter and I writed a letter,2.2024,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,I ripped it sinced I goed to bed,13.544183333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,I goed like this I goed like this when I goed ow,24.44428333333333,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,I doed this when I goed ow,24.543799999999997,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,and we comed over and then it was your birthday and we make the cake,3.5519000000000003,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,it died then the air comed out,8.561333333333332,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,his mommy and daddy was way over there,13.939616666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,his mommy and daddy was way over there xxx Sams_Club,13.997266666666667,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,her tongue tastes her tongue tastes her tongue tasteses like sandpaper,15.7567,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,they're they're yellin and their pants and their shirts go awayed,22.977149999999998,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,no she falled down,25.483533333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030409.xml,1226.75,and Mommy sitted there they came here and they gave it to my mommy and she sat there and I'm gonna buy one of those toys for Tiki whoa,1.7661166666666666,0,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/040216.xml,1538,well it got teared down,9.314449999999999,0,,
